Name                                                    Stmts   Miss  Cover
src/msb_v3/tools/runtime.py                                69      7    90%
src/msb_v3/triumvirate/guardian_scanner.py                190     45    76%
src/msb_v3/triumvirate/hardware_sovereignty.py             93      8    91%
src/msb_v3/triumvirate/meta_cognitive_planner.py           52      0   100%
src/msb_v3/triumvirate/mission_anchor.py                   58      3    95%
src/msb_v3/triumvirate/multimodal_interfaces.py            30      1    97%
src/msb_v3/uac/__init__.py                                 10      0   100%
src/msb_v3/vault/__init__.py                                0      0   100%
src/msb_v3/vault/frontmatter.py                            72      3    96%
src/msb_v3/vault/lint.py                                   59      2    97%
src/msb_v3/vesta/__init__.py                                1      0   100%
src/msb_v3/vesta/adapter.py                                80      8    90%
src/msb_v3/vesta/api.py                                   224     57    75%
src/msb_v3/vesta/approval_watchdog.py                      85     16    81%
src/msb_v3/vesta/approvals.py                              77      5    94%
src/msb_v3/vesta/dev_harness.py                            70     12    83%
src/msb_v3/vesta/evidence.py                               87      7    92%
src/msb_v3/vesta/models.py                                 79      0   100%
src/msb_v3/vesta/policy.py                                 61      6    90%
src/msb_v3/vesta/read.py                                   80     13    84%
src/msb_v3/vesta/runtime.py                                83      4    95%
src/msb_v3/vesta/services.py                               55     22    60%
src/msb_v3/vesta/shell.py                                 270     31    89%
src/msb_v3/vesta/transport.py                              32      3    91%
src/msb_v3/vesta/write.py                                 102      5    95%
src/msb_v3/wake/__init__.py                                 3      0   100%
src/msb_v3/wake/runner.py                                  97     13    87%
src/msb_v3/wake/store.py                                   79      2    97%
src/msb_v3/wrongness/__init__.py                            7      0   100%
src/msb_v3/wrongness/__main__.py                          140     91    35%
src/msb_v3/wrongness/checks.py                            183     58    68%
src/msb_v3/wrongness/claims.py                             53      8    85%
src/msb_v3/wrongness/engine.py                             81      7    91%
src/msb_v3/wrongness/passes.py                             57      0   100%
src/msb_v3/wrongness/policy.py                             34      3    91%
src/msb_v3/wrongness/report.py                             70      6    91%
---------------------------------------------------------------------------
TOTAL                                                   29018   4626    84%
