WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
nltk             3.9.1   PYSEC-2026-3730     3.10.0
nltk             3.9.1   PYSEC-2026-3741     3.10.3
nltk             3.9.1   PYSEC-2026-3740     3.10.3
nltk             3.9.1   PYSEC-2026-3733     3.10.3
nltk             3.9.1   PYSEC-2026-3731     3.10.0
nltk             3.9.1   PYSEC-2026-3729     3.9.3
nltk             3.9.1   PYSEC-2026-3749     3.10.3
nltk             3.9.1   PYSEC-2026-3748     3.10.3
nltk             3.9.1   PYSEC-2026-3750     3.10.0
nltk             3.9.1   PYSEC-2026-3751     3.10.3
nltk             3.9.1   PYSEC-2026-3749     3.10.3
nltk             3.9.1   PYSEC-2026-3752     3.10.3
nltk             3.9.1   PYSEC-2026-3741     3.10.3
nltk             3.9.1   PYSEC-2026-3739     3.10.3
nltk             3.9.1   PYSEC-2026-3738     3.10.3
nltk             3.9.1   PYSEC-2026-3740
nltk             3.9.1   PYSEC-2026-3723     3.10.0
nltk             3.9.1   PYSEC-2026-3722     3.10.0
nltk             3.9.1   PYSEC-2026-3732     3.9.4
nltk             3.9.1   PYSEC-2026-3729     3.9.3
nltk             3.9.1   PYSEC-2026-3730     3.10.0
nltk             3.9.1   PYSEC-2026-3728     3.10.0
nltk             3.9.1   PYSEC-2026-3733     3.10.3
nltk             3.9.1   PYSEC-2026-3748     3.10.3
nltk             3.9.1   PYSEC-2026-3734     3.10.0
nltk             3.9.1   PYSEC-2026-3737     3.10.3
nltk             3.9.1   PYSEC-2026-3735     3.10.3
nltk             3.9.1   PYSEC-2026-3736     3.10.3
nltk             3.9.1   PYSEC-2026-3752     3.10.3
nltk             3.9.1   PYSEC-2026-3750     3.10.0
nltk             3.9.1   PYSEC-2026-3751     3.10.3
nltk             3.9.1   PYSEC-2026-3868     3.10.3
nltk             3.9.1   PYSEC-2026-3871     3.10.3
nltk             3.9.1   PYSEC-2026-3870     3.10.1
nltk             3.9.1   PYSEC-2026-3869     3.10.3
nltk             3.9.1   PYSEC-2026-3955
nltk             3.9.1   PYSEC-2026-3954     3.10.0
pyasn1           0.6.1   PYSEC-2026-1810     0.6.2
pyasn1           0.6.1   PYSEC-2026-2263     0.6.3
pyasn1           0.6.1   PYSEC-2026-1810     0.6.2
pyasn1           0.6.1   PYSEC-2026-2263     0.6.3
pyasn1           0.6.1   PYSEC-2026-3456     0.6.4
pyasn1           0.6.1   PYSEC-2026-3457     0.6.4
pyasn1           0.6.1   PYSEC-2026-3457     0.6.4
pyasn1           0.6.1   PYSEC-2026-3456     0.6.4
pyasn1           0.6.1   PYSEC-2026-3455     0.6.4
pyasn1           0.6.1   PYSEC-2026-3455     0.6.4
pynacl           1.6.1   PYSEC-2026-1448     1.6.2
pynacl           1.6.1   PYSEC-2026-3002     1.6.2
pyopenssl        24.3.0  PYSEC-2026-2268     26.0.0
pyopenssl        24.3.0  PYSEC-2026-2269     26.0.0
pyopenssl        24.3.0  PYSEC-2026-2269     26.0.0
pyopenssl        24.3.0  PYSEC-2026-2268     26.0.0
pypdf            6.5.0   PYSEC-2026-1829     6.6.0
pypdf            6.5.0   PYSEC-2026-1828     6.6.0
pypdf            6.5.0   PYSEC-2026-1827     6.6.2
pypdf            6.5.0   PYSEC-2026-3015     6.7.1
pypdf            6.5.0   PYSEC-2026-3013     6.7.1
pypdf            6.5.0   PYSEC-2026-3024     6.7.1
pypdf            6.5.0   PYSEC-2026-3005     6.7.2
pypdf            6.5.0   PYSEC-2026-3027     6.7.3
pypdf            6.5.0   PYSEC-2026-3017     6.7.4
pypdf            6.5.0   PYSEC-2026-3014     6.7.5
pypdf            6.5.0   PYSEC-2026-3019     6.8.0
pypdf            6.5.0   PYSEC-2026-3023     6.9.1
pypdf            6.5.0   PYSEC-2026-3012     6.9.2
pypdf            6.5.0   PYSEC-2026-3006     6.10.0
pypdf            6.5.0   PYSEC-2026-3021     6.10.1
pypdf            6.5.0   PYSEC-2026-3007     6.10.2
pypdf            6.5.0   PYSEC-2026-3011     6.10.2
pypdf            6.5.0   PYSEC-2026-3026     6.10.2
pypdf            6.5.0   PYSEC-2026-3004     6.12.0
pypdf            6.5.0   PYSEC-2026-3016     6.12.0
